workerid,OS,screenH,screenW,Browser
0,Windows,1080,1920,Chrome
1,Windows,900,1440,Chrome
2,Mac,800,1280,Chrome
3,Windows,900,1440,Chrome
4,Mac,800,1280,Chrome
5,Windows,768,1366,Chrome
6,Windows,1200,1920,Firefox
7,Windows,1080,1920,Chrome
8,Windows,1200,1920,Chrome
9,Windows,810,1440,Firefox
10,Windows,768,1366,Firefox
11,Mac,800,1280,Chrome
12,Windows,648,1152,Firefox
13,Windows,864,1536,Firefox
14,Windows,1080,1920,Chrome
15,Windows,1080,1920,Chrome
16,Windows,1080,1920,Chrome
17,Windows,600,800,Firefox
18,Windows,1080,1920,Chrome
19,Windows,900,1600,Chrome
20,Mac,900,1440,Chrome
21,Windows,1050,1680,Chrome
22,Windows,1080,1920,Chrome
23,Windows,960,1440,Firefox
24,Windows,960,1708,Firefox
25,Windows,1050,1680,Chrome
26,Windows,1024,1280,Firefox
27,Linux,858,1525,Firefox
28,Mac,768,1366,Firefox
29,Windows,1050,1680,Chrome
30,Windows,1080,1920,Firefox
31,Windows,768,1024,Firefox
32,Windows,768,1366,Chrome
33,Mac,1050,1680,Chrome
34,Windows,1080,1920,Chrome
35,Windows,768,1366,Chrome
36,Windows,800,1280,Firefox
37,Windows,1050,1680,Chrome
38,Mac,900,1440,Firefox
39,Windows,768,1366,Chrome
40,Windows,1080,1200,Chrome
41,Windows,768,1366,Chrome
42,Windows,1080,1920,Chrome
43,Mac,800,1280,Firefox
44,Windows,1080,1920,Chrome
45,Windows,768,1366,Chrome
46,Windows,900,1600,Chrome
47,Windows,768,1366,Chrome
48,Windows,768,1024,Chrome
49,Windows,720,1280,Firefox
50,Linux,1080,1920,Chrome
51,Windows,1080,1920,Chrome
52,Windows,900,1440,Chrome
53,Windows,1024,1280,Chrome
54,Windows,1080,1920,Chrome
55,Mac,800,1280,Chrome
56,Mac,1200,1920,Chrome
57,Windows,1050,1680,Chrome
58,Linux,1024,768,Chrome
59,Mac,900,1440,Chrome
